2;+8 Strength
3;+8 Agility
4;+8 Stamina
5;+8 mana every 5 sec.
21;+7 Spell Power
22;+6 Strength
23;+7 Spell Power
24;+6 Agility
25;+6 Intellect
26;+6 Critical Strike Rating
27;+6 Hit Rating
28;+6 Defense Rating
29;+9 Stamina
30;+6 Spirit
31;+8 Spell Penetration
32;+3 Mana every 5 seconds
41;+4 Agility per different colored gem
42;+12 Strength if 4 blue gems equipped
61;+4 Spell Power and +3 Intellect
62;+3 Defense Rating and +4 Stamina
63;+3 Intellect and +2 Mana every 5 Sec
64;+4 Spell Power and +4 Stamina
65;+4 Spell Power and +2 Mana every 5 seconds
66;+3 Agility and +4 Stamina
67;+3 Strength and +4 Stamina
81;+8 Strength
82;+8 Agility
83;+9 Spell Power
84;+9 Spell Power
85;+16 Attack Power
86;+8 Dodge Rating
87;+12 Stamina
88;+8 Spirit
89;+4 Mana every 5 seconds
101;+8 Intellect
102;+8 Critical Strike Rating
121;+8 Critical Strike Rating
122;+8 Defense Rating
123;+4 Strength and +6 Stamina
124;+4 Agility and +6 Stamina
125;+5 Spell Power and +6 Stamina
126;+5 Spell Power and +2 Mana every 5 seconds
127;+5 Spell Power and +4 Intellect
128;+4 Defense Rating and +6 Stamina
129;+4 Intellect and +2 Mana every 5 seconds
141;+3 Critical Strike Rating and +3 Strength
142;+4 Critical Strike Rating and +4 Strength
143;+8 Parry Rating
144;+3 Hit Rating and +3 Agility
145;+4 Hit Rating and +4 Agility
146;+3 Critical Strike Rating and +4 Stamina
147;+4 Critical Strike Rating and +6 Stamina
148;+8 Resilience Rating
149;+3 Critical Strike Rating and +4 Spell Power
150;+4 Critical Strike Rating and +5 Spell Power
151;+3 Critical Strike Rating and +4 Spell Penetration
152;+4 Critical Strike Rating and +5 Spell Penetration
153;+8 Hit Rating
154;+10 Spell Penetration
161;+14 Critical Strike Rating and 1% Spell Reflect
162;Chance to Increase Spell Cast Speed
163;+24 Attack Power and Minor Run Speed Increase
164;+12 Critical Strike Rating and Reduces Snare/Root Duration by 10%
165;+18 Stamina and Stun Duration Reduced by 15%
166;+14 Spell Power and 2% Reduced Threat
167;+12 Defense Rating and Chance to Restore Health on hit
168;+3 Melee Damage and Chance to Stun Target
169;+12 Intellect and Chance to restore mana on spellcast
182;+10 Resilience Rating
201;+7 Strength
202;+8 Spell Power
203;+3 Stamina, +4 Crit Rating
204;+3 Stamina and +4 Critical Strike Rating
205;+3 Stamina and +4 Critical Strike Rating
222;gem test enchantment
241;+10 Strength
242;+12 Spell Power
243;+10 Critical Strike Rating
244;+10 Critical Strike Rating
261;+5 Strength, +5 Crit Rating
262;+5 Critical Strike Rating and +6 Spell Power
281;+3 Stamina and +4 Critical Strike Rating
282;+7 Strength
283;+3 Stamina and +4 Critical Strike Rating
284;+8 Spell Power
301;+6 Critical Strike Rating
321;+14 Attack Power
322;+14 Attack Power
323;+20 Attack Power
324;+10 Attack Power, +5 Critical Strike Rating
341;+3 Resist All
342;+4 Resist All
361;+20 Attack Power
362;+10 Critical Strike Rating
381;+4 Strength
382;+4 Agility
383;+5 Spell Power
384;+5 Spell Power
385;+8 Attack Power
386;+6 Stamina
387;+4 Spirit
388;+2 Mana every 5 seconds
389;+4 Intellect
390;+4 Critical Strike Rating
391;+4 Hit Rating
392;+4 Critical Strike Rating
393;+4 Defense Rating
401;+20 Attack Power and Minor Run Speed Increase
402;+12 Spell Power and Minor Run Speed Increase
421;+12 Attack Power
441;+5 Strength and +6 Stamina 
442;+6 Spell Power and +4 Intellect
